LAT,LON,FIRE ACTIVE POINT
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
32.5,-118.125,
32.5,-117.5,
32.5,-116.875,
32.5,-116.25,
32.5,-115.625,
32.5,-115,
32.5,-114.375,
33,-120,
33,-119.375,
33,-118.75,
33,-118.125,
33,-117.5,
33,-116.875,
33,-116.25,
33,-115.625,
33,-115,
33,-114.375,
33.5,-120,
33.5,-119.375,
33.5,-118.75,
33.5,-118.125,
33.5,-117.5,
33.5,-116.875,
33.5,-116.25,
33.5,-115.625,
33.5,-115,
33.5,-114.375,
34,-120,
34,-119.375,
34,-118.75,
34,-118.125,
34,-117.5,
34,-116.875,
34,-116.25,
34,-115.625,
34,-115,
34,-114.375,
34.5,-120,
34.5,-119.375,
34.5,-118.75,
34.5,-118.125,
34.5,-117.5,
34.5,-116.875,
34.5,-116.25,
34.5,-115.625,
34.5,-115,
34.5,-114.375,
32.5,-120,
32.5,-119.375,
32.5,-118.75,
